CCT,ESCUELA,PLAN DE ESTUDIOS,SISEC_ESPECIALIDAD,SISEC_CLAVE
16ETC0017H,CECYTE MICHOACÁN 17 CIUDAD HIDALGO,ASISTENCIA EN DIRECCIÓN Y CONTROL DE PyMES,Asistencia en dirección y control de Pymes,333502006-13
16EMS0001Y,CEMSAD MICHOACÁN 01 CALETA DE CAMPOS,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0002X,CEMSAD MICHOACÁN 02 MANGA DE CUIMBO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0003W,CEMSAD MICHOACÁN 03 ZÁRATE,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0004V,CEMSAD MICHOACÁN 04 AGOSTITLÁN,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0005U,CEMSAD MICHOACÁN 05 SAN ANTONIO VILLALONGÍN,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0006T,CEMSAD MICHOACÁN 06 SUSUPUATO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0008R,CEMSAD MICHOACÁN 08 LAS CRUCES,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0009Q,CEMSAD MICHOACÁN 09 SAN JERÓNIMO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0010F,CEMSAD MICHOACÁN 10 CUITZIÁN GRANDE,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0012D,CEMSAD MICHOACÁN 13 TEREMENDO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0013C,CEMSAD MICHOACÁN 12 CUTO DE LA ESPERANZA,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0014B,CEMSAD MICHOACÁN 11 TZITZINGAREO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0015A,CEMSAD MICHOACÁN 15 POTURO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0016Z,CEMSAD MICHOACÁN 16 VILLA VICTORIA,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0017Z,CEMSAD MICHOACÁN 17 TZITZIO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0018Y,CEMSAD MICHOACÁN 18 SANTIAGO ACAHUATO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0019X,CEMSAD MICHOACÁN 19 JANITZIO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0020M,CEMSAD MICHOACÁN 20 SERRANO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0021L,CEMSAD MICHOACÁN 21 IXTARO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0023J,CEMSAD MICHOACÁN 23 CUPÚAN DEL RÍO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0024I,CEMSAD MICHOACÁN 24 ZIRAHUEN ,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0026G,CEMSAD MICHOACÁN 26 URIPITIO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0027F,CEMSAD MICHOACÁN 27 CEIBAS DE TRUJILLO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0028E,CEMSAD MICHOACÁN 28 PASO DE TIERRA CALIENTE,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0030T,CEMSAD MICHOACÁN 30 LIMÓN DE PAPATZINDÁN,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0031S,CEMSAD MICHOACÁN 31 FELIPE CARRILLO PUERTO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0033Q,CEMSAD MICHOACÁN 33 SAN CRISTOBAL DE LOS GUAJES,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0034P,CEMSAD MICHOACÁN 35 LAS CAÑAS,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0035O,CEMSAD MICHOACÁN 36 HUAJUMBARO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0036N,CEMSAD MICHOACÁN 34 ÁPORO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0037M,CEMSAD MICHOACÁN 37 SANTIAGO HUNDAMEO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0039K,CEMSAD MICHOACÁN 39 DR. MIGUEL SILVA,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0040Z,CEMSAD MICHOACÁN 40 CHUCUTITÁN,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0041Z,CEMSAD MICHOACÁN 41 SANTA CRUZ,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0042Y,CEMSAD MICHOACÁN 42 ZINÁPARO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0044W,CEMSAD MICHOACÁN 43 BUENAVISTA,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0045V,CEMSAD MICHOACÁN 44 GALEANA,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0046U,CEMSAD MICHOACÁN 45 PASO DE MORELOS,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0047T,CEMSAD MICHOACÁN 46 OSTULA,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0048S,CEMSAD MICHOACÁN 48 EL CHAPARRO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0049R,CEMSAD MICHOACÁN 49 COPÁNDARO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0050G,CEMSAD MICHOACÁN 50 UNIÓN DE JUAREZ,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0051F,CEMSAD MICHOACÁN 51 PUERTO DE JUNGAPEO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0052E,MICHOACÁN  52 ATÉCUARO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0053D,CEMSAD MICHOACÁN 53 CURIMEO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0054C,CEMSAD MICHOACÁN 54 LA LUZ,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0055B,CEMSAD MICHOACÁN 55 LAS YEGUAS,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0056A,CEMSAD MICHOACÁN 56 SAN LORENZO,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
16EMS0057Z,CEMSAD MICHOACÁN 57 GALLITOS SIETE CARRERAS,BACHILLERATO GENERAL,Bachillerato general,EMS_BG
